 t[sec]              X[m]			Y[m]            Vx[m/s]            Vy[m/s] 
2.000000E-12        2.000002E-03        1.000000E-02         4.998469E+06        1.756187E+04        
3.000000E-12        2.005005E-03        9.999982E-03         5.002860E+06        -1.756948E+04        
4.000000E-12        2.010012E-03        9.999930E-03         5.007004E+06        -5.273080E+04        
5.000000E-12        2.015023E-03        9.999842E-03         5.010901E+06        -8.792037E+04        
6.000000E-12        2.020037E-03        9.999719E-03         5.014550E+06        -1.231364E+05        
7.000000E-12        2.025055E-03        9.999560E-03         5.017952E+06        -1.583773E+05        
8.000000E-12        2.030076E-03        9.999367E-03         5.021106E+06        -1.936412E+05        
9.000000E-12        2.035100E-03        9.999138E-03         5.024013E+06        -2.289263E+05        
1.000000E-11        2.040127E-03        9.998873E-03         5.026671E+06        -2.642310E+05        
1.100000E-11        2.045156E-03        9.998574E-03         5.029082E+06        -2.995536E+05        
1.200000E-11        2.050187E-03        9.998239E-03         5.031244E+06        -3.348921E+05        
1.300000E-11        2.055221E-03        9.997869E-03         5.033158E+06        -3.702450E+05        
1.400000E-11        2.060255E-03        9.997463E-03         5.034823E+06        -4.056105E+05        
1.500000E-11        2.065292E-03        9.997022E-03         5.036240E+06        -4.409868E+05        
1.600000E-11        2.070329E-03        9.996546E-03         5.037409E+06        -4.763722E+05        
1.700000E-11        2.075367E-03        9.996034E-03         5.038329E+06        -5.117649E+05        
1.800000E-11        2.080406E-03        9.995487E-03         5.039000E+06        -5.471632E+05        
1.900000E-11        2.085446E-03        9.994904E-03         5.039422E+06        -5.825653E+05        
2.000000E-11        2.090485E-03        9.994286E-03         5.039596E+06        -6.179696E+05        
2.100000E-11        2.095525E-03        9.993633E-03         5.039521E+06        -6.533742E+05        
2.200000E-11        2.100564E-03        9.992944E-03         5.039197E+06        -6.887774E+05        
2.300000E-11        2.105603E-03        9.992220E-03         5.038625E+06        -7.241774E+05        
2.400000E-11        2.110641E-03        9.991460E-03         5.037804E+06        -7.595725E+05        
2.500000E-11        2.115677E-03        9.990665E-03         5.036734E+06        -7.949610E+05        
2.600000E-11        2.120713E-03        9.989835E-03         5.035416E+06        -8.303412E+05        
2.700000E-11        2.125747E-03        9.988969E-03         5.033849E+06        -8.657111E+05        
2.800000E-11        2.130779E-03        9.988068E-03         5.032034E+06        -9.010692E+05        
2.900000E-11        2.135809E-03        9.987132E-03         5.029970E+06        -9.364137E+05        
3.000000E-11        2.140836E-03        9.986160E-03         5.027658E+06        -9.717428E+05        
3.100000E-11        2.145861E-03        9.985153E-03         5.025098E+06        -1.007055E+06        
3.200000E-11        2.150884E-03        9.984111E-03         5.022290E+06        -1.042348E+06        
3.300000E-11        2.155903E-03        9.983033E-03         5.019234E+06        -1.077620E+06        
3.400000E-11        2.160919E-03        9.981920E-03         5.015931E+06        -1.112871E+06        
