   t_avg[sec]      elc_avg_n[m^-3]              ion_avg_n[m^-3]             ntr_avg_n[m^-3]     	      elc_KE[ev]           ion_KE[ev]            ntr_KE[ev]		    Ie_FS[A]        Ii_FS[A]       Ie_anode[A]        Ii_anode[A]     In_FS[A]     In_anode[A]    Ie_FS_beam[A]        Ii_anode_beam[A]       phi_ij[V]  		   dt=1.000000E-11 
5.5000000000E-11         5.090E+13        5.090E+13        5.0895454066E+13        3.144E+04         3.144E+04         3.144E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
1.5500000000E-10         1.045E+14        1.045E+14        1.0454625762E+14        3.176E+04         3.176E+04         3.176E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
2.5500000000E-10         1.585E+14        1.585E+14        1.5847238507E+14        3.172E+04         3.172E+04         3.172E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
3.5500000000E-10         1.829E+14        1.829E+14        1.8294001976E+14        3.163E+04         3.163E+04         3.163E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
4.5500000000E-10         2.026E+14        2.026E+14        2.0259175357E+14        3.161E+04         3.161E+04         3.161E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
5.5500000000E-10         2.251E+14        2.251E+14        2.2507392430E+14        3.159E+04         3.159E+04         3.159E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
6.5500000000E-10         2.433E+14        2.433E+14        2.4334860667E+14        3.157E+04         3.157E+04         3.157E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
7.5500000000E-10         2.703E+14        2.703E+14        2.7030505676E+14        3.155E+04         3.155E+04         3.155E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
8.5500000000E-10         2.842E+14        2.842E+14        2.8420119504E+14        3.154E+04         3.154E+04         3.154E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
9.5500000000E-10         2.941E+14        2.941E+14        2.9411076036E+14        3.151E+04         3.151E+04         3.151E+04         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         0.000E+00         1.000E+01         1.000E+01         0.000E+00         0.000E+00         0.000E+00         
